id,canonical_name,display_label,common_name,musical_name,aliases,mode_label,parent_family,parent_mode_number,latent
1,Major,Major (Ionian),Major,Ionian,,Major Mode 1,Major,1,false
2,Dorian,Dorian,Dorian,Dorian,,Major Mode 2,Major,2,false
3,Phrygian,Phrygian,Phrygian,Phrygian,,Major Mode 3,Major,3,false
4,Lydian,Lydian,Lydian,Lydian,,Major Mode 4,Major,4,false
5,Mixolydian,Mixolydian,Mixolydian,Mixolydian,,Major Mode 5,Major,5,false
6,Natural Minor,Natural Minor (Aeolian),Natural Minor,Aeolian,,Major Mode 6,Major,6,false
7,Locrian,Locrian,Locrian,Locrian,,Major Mode 7,Major,7,false
8,Harmonic Minor,Harmonic Minor,Harmonic Minor,Harmonic Minor,,Harmonic Minor Mode 1,Harmonic Minor,1,false
9,Melodic Minor,Melodic Minor,Melodic Minor,Melodic Minor,,Melodic Minor Mode 1,Melodic Minor,1,false
10,Major Pentatonic,Major Pentatonic,Major Pentatonic,Major Pentatonic,,Pentatonic Mode 1,Pentatonic,1,false
11,Minor Pentatonic,Minor Pentatonic,Minor Pentatonic,Minor Pentatonic,,Pentatonic Mode 5,Pentatonic,5,false
12,Double Harmonic Major,Byzantine (Double Harmonic Major),Byzantine,Double Harmonic Major,,,,,false
13,Minor Blues,Minor Blues,Minor Blues,Minor Blues,,,,,false
14,Major Blues,Major Blues,Major Blues,Major Blues,,,,,false
15,Locrian #6,Locrian #6,Locrian #6,Locrian #6,Locrian natural 6,Harmonic Minor Mode 2,Harmonic Minor,2,false
16,Ionian #5,Major #5 (Ionian #5),Major #5,Ionian #5,,Harmonic Minor Mode 3,Harmonic Minor,3,false
17,Dorian #4,Dorian #4,Dorian #4,Dorian #4,,Harmonic Minor Mode 4,Harmonic Minor,4,false
18,Phrygian Dominant,Phrygian Dominant,Phrygian Dominant,Phrygian Dominant,Phrygian #3; Spanish Gypsy,Harmonic Minor Mode 5,Harmonic Minor,5,false
19,Lydian #2,Lydian #2,Lydian #2,Lydian #2,Lydian augmented 2,Harmonic Minor Mode 6,Harmonic Minor,6,false
20,Ultra-Locrian,Ultra-Locrian,Ultra-Locrian,Ultra-Locrian,Super Locrian bb7,Harmonic Minor Mode 7,Harmonic Minor,7,false
21,Dorian b2,Dorian b2,Dorian b2,Dorian b2,Phrygian #6,Melodic Minor Mode 2,Melodic Minor,2,false
22,Lydian Augmented,Lydian Augmented,Lydian Augmented,Lydian Augmented,Lydian #5,Melodic Minor Mode 3,Melodic Minor,3,false
23,Lydian Dominant,Lydian Dominant,Lydian Dominant,Lydian Dominant,Mixolydian #4,Melodic Minor Mode 4,Melodic Minor,4,false
24,Mixolydian b6,Mixolydian b6,Mixolydian b6,Mixolydian b6,Aeolian dominant,Melodic Minor Mode 5,Melodic Minor,5,false
